name,member,plate,weld,bolt_group,a
FEP150,SWC 1000WB322 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,8x2 (70px140g) 35 M20 8.8/S (TI),100
FEP151,SWC 1000WB296 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,8x2 (70px140g) 35 M20 8.8/S (TI),100
FEP152,SWC 1000WB258 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,8x2 (70px140g) 35 M20 8.8/S (TI),100
FEP153,SWC 1000WB215 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,8x2 (70px140g) 35 M20 8.8/S (TI),100
FEP154,SWC 900WB282 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,8x2 (70px140g) 35 M20 8.8/S (TI),100
FEP155,SWC 900WB257 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,8x2 (70px140g) 35 M20 8.8/S (TI),100
FEP156,SWC 900WB218 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,8x2 (70px140g) 35 M20 8.8/S (TI),100
FEP157,SWC 900WB175 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,8x2 (70px140g) 35 M20 8.8/S (TI),100
FEP158,SWC 800WB192 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,8x2 (70px140g) 35 M20 8.8/S (TI),100
FEP159,SWC 800WB168 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,8x2 (70px140g) 35 M20 8.8/S (TI),100
FEP160,SWC 800WB146 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,8x2 (70px140g) 35 M20 8.8/S (TI),100
FEP161,SWC 800WB122 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,8x2 (70px140g) 35 M20 8.8/S (TI),100
FEP162,SWC 700WB173 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,8x2 (70px140g) 35 M20 8.8/S (TI),100
FEP163,SWC 700WB150 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,8x2 (70px140g) 35 M20 8.8/S (TI),100
FEP164,SWC 700WB130 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,8x2 (70px140g) 35 M20 8.8/S (TI),100
FEP165,SWC 700WB115 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,8x2 (70px140g) 35 M20 8.8/S (TI),100
FEP166,SWC 1000WB322 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,7x2 (70px140g) 35 M20 8.8/S (TI),100
FEP167,SWC 1000WB296 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,7x2 (70px140g) 35 M20 8.8/S (TI),100
